ФИО,ГодРождения,ГодСмерти,ЧислоДетей
Сидоров Алексей Иванович,1848,1979,13
Кузнецов Петр Федорович,1876,2020,6
Попов Сергей Алексеевич,1866,1942,0
Волков Юрий Алексеевич,1831,1841,10
Сидоров Иван Васильевич,1906,1986,5
Иванов Никита Петрович,1992,2017,12
Новиков Артем Васильевич,1885,1977,1
Кузнецов Дмитрий Юрьевич,1861,2024,13
Петров Алексей Сергеевич,1995,2006,9
Фролов Алексей Федорович,1871,1950,8
Сидоров Петр Петрович,1940,2008,8
Сидоров Владимир Сергеевич,1856,2016,3
Попов Никита Иванович,1899,1953,2
Сидоров Юрий Федорович,1844,1959,3
Петров Владимир Иванович,1818,1977,8
Иванов Юрий Николаевич,1805,1853,11
Сидоров Петр Николаевич,1900,1988,9
Новиков Никита Федорович,1903,1995,14
Смирнов Никита Петрович,1857,1894,1
Новиков Владимир Сергеевич,1813,1859,1
Смирнов Алексей Иванович,1860,1929,10
Лебедев Иван Алексеевич,1824,1889,5
Волков Иван Федорович,1928,2002,12
Лебедев Алексей Сергеевич,1940,1983,5
Попов Владимир Сергеевич,1839,1887,13
Фролов Владимир Алексеевич,1823,1844,2
Волков Алексей Васильевич,1801,1842,12
Волков Андрей Иванович,1923,2000,3
Петров Владимир Юрьевич,1952,1967,2
Лебедев Алексей Петрович,1871,1879,14
Сидоров Андрей Иванович,1821,1971,11
Иванов Андрей Федорович,1810,1810,8
Кузнецов Алексей Алексеевич,1883,1987,9
Новиков Юрий Федорович,1854,2001,7
Фролов Артем Дмитриевич,1826,2020,11
Попов Петр Николаевич,1943,2001,14
Попов Артем Юрьевич,1900,2024,3
Волков Никита Васильевич,1837,1910,13
Кузнецов Андрей Сергеевич,1828,1942,6
Лебедев Андрей Юрьевич,1901,2005,3
Попов Никита Васильевич,1839,1947,7
Сидоров Сергей Николаевич,1937,2002,14
Смирнов Дмитрий Иванович,1825,1827,10
Попов Юрий Федорович,2014,2018,4
Новиков Владимир Николаевич,1893,1917,10
Лебедев Алексей Сергеевич,1829,1976,3
Петров Иван Петрович,1891,1906,3
Лебедев Владимир Алексеевич,1831,1961,7
Попов Юрий Иванович,1900,1913,12
Кузнецов Петр Андреевич,1832,1872,5
Иванов Никита Сергеевич,1855,2010,4
Фролов Сергей Юрьевич,1877,1961,4
Новиков Петр Андреевич,1813,1993,3
Лебедев Юрий Андреевич,1903,1964,2
Лебедев Юрий Николаевич,1836,1857,4
Фролов Никита Сергеевич,1918,2018,9
Иванов Андрей Андреевич,1881,1950,3
Попов Алексей Юрьевич,1840,1905,14
Новиков Сергей Андреевич,1846,1942,0
Новиков Артем Васильевич,1850,1996,4
Петров Юрий Дмитриевич,1851,1938,8
Волков Дмитрий Юрьевич,1819,1955,7
Иванов Алексей Алексеевич,1939,2022,3
Сидоров Дмитрий Андреевич,1905,1969,8
Волков Иван Федорович,1881,1914,6
Лебедев Юрий Николаевич,1862,2024,9
Смирнов Владимир Юрьевич,1842,1878,9
Сидоров Владимир Сергеевич,1866,1924,13
Новиков Сергей Сергеевич,1806,1891,1
Сидоров Алексей Иванович,1821,2005,5
Петров Иван Андреевич,1917,1970,9
Попов Иван Петрович,1889,2019,11
Смирнов Андрей Николаевич,1893,2023,2
Новиков Юрий Алексеевич,1903,1940,9
Лебедев Артем Сергеевич,1815,1836,1
Сидоров Артем Дмитриевич,1870,1958,12
Сидоров Алексей Иванович,1848,2022,3
Петров Алексей Николаевич,1918,1973,10
Лебедев Алексей Федорович,1814,2019,5
Смирнов Юрий Васильевич,1841,1889,3
Петров Андрей Николаевич,1826,1901,11
Волков Никита Васильевич,1990,1997,10
Сидоров Никита Федорович,1823,1968,12
Лебедев Артем Дмитриевич,1926,1934,9
Кузнецов Артем Николаевич,1806,1844,13
Петров Владимир Дмитриевич,1867,1998,13
Петров Юрий Юрьевич,1861,1980,14
Попов Дмитрий Сергеевич,1899,2002,4
Волков Юрий Васильевич,1883,2009,5
Новиков Андрей Алексеевич,1970,1978,12
Лебедев Артем Дмитриевич,1948,1961,6
Новиков Владимир Андреевич,1949,1998,11
Петров Сергей Иванович,1970,1973,4
Лебедев Иван Сергеевич,1928,2005,7
Кузнецов Никита Юрьевич,1829,1933,11
Лебедев Дмитрий Дмитриевич,1886,1972,8
Кузнецов Дмитрий Сергеевич,1918,1949,11
Сидоров Юрий Андреевич,1815,1975,8
Новиков Артем Андреевич,1870,1929,9
Попов Иван Васильевич,1967,2001,14
Волков Петр Петрович,1836,1983,3
Смирнов Иван Васильевич,1952,1965,8
Новиков Сергей Васильевич,1888,1890,11
Кузнецов Петр Дмитриевич,1869,1897,4
Попов Андрей Дмитриевич,1806,1964,2
Смирнов Владимир Николаевич,1945,2012,11
Новиков Иван Васильевич,1904,1929,11
Смирнов Никита Сергеевич,1850,1993,6
Иванов Дмитрий Николаевич,1826,1885,8
Волков Дмитрий Васильевич,1920,2006,14
Кузнецов Иван Петрович,1862,1982,4
Фролов Сергей Петрович,1807,1981,1
Сидоров Иван Сергеевич,1851,2005,7
Фролов Владимир Алексеевич,1865,1867,3
Иванов Иван Иванович,1802,1907,4
Попов Петр Дмитриевич,1965,2022,12
Лебедев Юрий Николаевич,1977,1992,14
Смирнов Петр Иванович,1805,1903,1
Кузнецов Дмитрий Андреевич,1815,2001,8
Лебедев Юрий Федорович,1877,2002,8
Волков Владимир Алексеевич,1926,1998,7
Лебедев Дмитрий Андреевич,1839,1942,4
Новиков Сергей Андреевич,1824,1826,11
Волков Юрий Андреевич,1909,1920,9
Петров Артем Николаевич,1843,1971,4
Петров Никита Сергеевич,1923,1986,1
Петров Юрий Сергеевич,1819,1949,12
Иванов Петр Петрович,1822,1964,13
Лебедев Иван Сергеевич,1849,1995,11
Лебедев Андрей Дмитриевич,1874,1921,11
Петров Артем Петрович,1848,2007,5
Попов Никита Николаевич,1822,1904,9
Лебедев Артем Сергеевич,1874,1964,7
Петров Никита Николаевич,1842,1976,12
Петров Иван Николаевич,1881,1882,6
Лебедев Никита Алексеевич,1936,1989,10
Фролов Сергей Николаевич,1949,2022,12
Попов Андрей Иванович,1851,1994,7
Попов Алексей Николаевич,1814,1981,7
Сидоров Алексей Васильевич,1953,2016,10
Иванов Петр Алексеевич,1881,1969,8
Кузнецов Юрий Юрьевич,1804,1996,8
Сидоров Артем Юрьевич,1926,1969,9
Сидоров Петр Федорович,1944,2009,0
Фролов Юрий Федорович,1809,1904,5
Сидоров Петр Васильевич,1948,1955,2
Смирнов Владимир Андреевич,1847,2019,14
Сидоров Дмитрий Юрьевич,1918,1976,12
Сидоров Алексей Алексеевич,1858,1901,0
Петров Артем Иванович,1834,1950,3
Волков Никита Васильевич,1829,2007,11
Попов Сергей Федорович,1849,2019,14
Лебедев Алексей Николаевич,1807,1965,13
Петров Артем Алексеевич,1862,1868,5
Кузнецов Артем Дмитриевич,1863,1913,14
Новиков Андрей Васильевич,1979,1998,6
Новиков Владимир Алексеевич,1914,1966,1
Кузнецов Никита Иванович,1818,1897,13
Смирнов Петр Николаевич,1814,1825,10
Петров Сергей Андреевич,1802,1886,2
Сидоров Петр Сергеевич,1963,1969,5
Волков Петр Иванович,1810,1956,7
Новиков Юрий Дмитриевич,1814,1991,5
Лебедев Иван Петрович,1852,1870,14
Фролов Сергей Юрьевич,1925,2010,10
Смирнов Никита Дмитриевич,1923,1972,9
Иванов Юрий Дмитриевич,1870,1926,13
Фролов Артем Дмитриевич,1897,2018,9
Петров Петр Андреевич,1892,1905,0
Кузнецов Алексей Дмитриевич,1801,1928,0
Сидоров Петр Андреевич,1898,1998,11
Фролов Алексей Федорович,1947,2006,2
Сидоров Андрей Васильевич,1897,1926,10
Лебедев Сергей Николаевич,1874,1956,4
Кузнецов Артем Андреевич,1865,1901,0
Лебедев Никита Дмитриевич,1855,2009,13
Фролов Иван Федорович,1849,1979,6
Лебедев Артем Васильевич,1912,1961,4
Фролов Дмитрий Иванович,1835,2014,14
Смирнов Никита Дмитриевич,1801,2008,7
Иванов Алексей Иванович,1821,1849,6
Смирнов Артем Федорович,1819,1824,12
Петров Артем Дмитриевич,1806,2007,5
Петров Петр Юрьевич,1835,1927,12
Волков Артем Петрович,1827,1828,3
Петров Иван Сергеевич,1835,1913,9
Иванов Юрий Николаевич,1838,2006,7
Лебедев Артем Сергеевич,1910,1962,5
Кузнецов Никита Васильевич,1898,1963,11
Попов Алексей Юрьевич,1808,1816,5
Лебедев Алексей Юрьевич,1945,2006,9
Иванов Андрей Николаевич,1800,1954,2
Кузнецов Юрий Федорович,1818,1926,12
Петров Иван Николаевич,1935,2017,3
Фролов Дмитрий Сергеевич,1819,1972,12
Попов Артем Петрович,2000,2017,5
Кузнецов Алексей Алексеевич,1843,1956,3
Кузнецов Владимир Сергеевич,1815,1905,13
Попов Дмитрий Сергеевич,1812,1936,7
Смирнов Дмитрий Сергеевич,1803,1930,5
Новиков Юрий Васильевич,1827,1923,8
Волков Дмитрий Петрович,1896,1933,8
Новиков Юрий Николаевич,1883,1995,14
Лебедев Андрей Николаевич,1847,2002,5
Лебедев Юрий Николаевич,1954,1971,6
Иванов Дмитрий Николаевич,1856,1883,11
Новиков Петр Федорович,1859,1909,9
Кузнецов Никита Федорович,1834,1981,6
Попов Дмитрий Юрьевич,1841,1934,14
Смирнов Сергей Дмитриевич,1850,1919,4
Лебедев Владимир Юрьевич,1829,1933,8
Новиков Андрей Васильевич,1841,2016,2
Кузнецов Иван Васильевич,1810,1848,12
Волков Юрий Дмитриевич,1833,1904,0
Волков Сергей Васильевич,1831,1972,8
Кузнецов Артем Петрович,1802,1818,9
Петров Сергей Петрович,1880,1927,5
Фролов Дмитрий Николаевич,1824,1904,1
Фролов Артем Юрьевич,1857,2008,13
Попов Алексей Васильевич,1843,1969,8
Кузнецов Владимир Петрович,1918,1946,5
Попов Сергей Сергеевич,1924,1990,2
Лебедев Дмитрий Федорович,1900,2009,13
Петров Никита Дмитриевич,1856,1871,1
