ФИО,ГодРождения,ГодСмерти,ЧислоДетей
Лебедев Владимир Дмитриевич,1815,1821,3
Сидоров Юрий Андреевич,1815,1975,8
Фролов Никита Николаевич,1815,1940,0
Попов Андрей Алексеевич,1816,1886,6
Фролов Петр Петрович,1816,1839,6
Лебедев Сергей Дмитриевич,1817,1863,5
Петров Владимир Николаевич,1817,1843,2
Фролов Никита Васильевич,1817,1906,5
Кузнецов Никита Васильевич,1818,1992,5
Кузнецов Никита Иванович,1818,1897,13
Кузнецов Юрий Федорович,1818,1926,12
Лебедев Артем Федорович,1818,1898,7
Петров Владимир Иванович,1818,1977,8
Волков Дмитрий Юрьевич,1819,1955,7
Новиков Владимир Федорович,1819,1858,14
Петров Юрий Сергеевич,1819,1949,12
Смирнов Артем Федорович,1819,1824,12
Фролов Дмитрий Сергеевич,1819,1972,12
Кузнецов Петр Алексеевич,1820,1964,12
Фролов Дмитрий Дмитриевич,1820,1941,7
Фролов Сергей Сергеевич,1820,1897,5
Иванов Алексей Иванович,1821,1849,6
Сидоров Алексей Иванович,1821,2005,5
Сидоров Андрей Иванович,1821,1971,11
Смирнов Артем Иванович,1821,2008,3
Иванов Петр Петрович,1822,1964,13
Новиков Алексей Андреевич,1822,2011,2
Петров Артем Иванович,1822,1985,4
Попов Андрей Сергеевич,1822,1847,6
Попов Никита Николаевич,1822,1904,9
Кузнецов Никита Иванович,1823,1843,6
Петров Юрий Васильевич,1823,2024,3
Сидоров Никита Федорович,1823,1968,12
Смирнов Дмитрий Алексеевич,1823,2023,3
Фролов Владимир Алексеевич,1823,1844,2
Фролов Сергей Петрович,1823,1971,12
Лебедев Иван Алексеевич,1824,1889,5
Новиков Сергей Андреевич,1824,1826,11
Петров Артем Николаевич,1824,1853,6
Фролов Дмитрий Николаевич,1824,1904,1
Новиков Андрей Алексеевич,1825,1958,8
Петров Владимир Алексеевич,1825,1949,13
Смирнов Дмитрий Иванович,1825,1827,10
Волков Иван Федорович,1826,2014,1
Иванов Дмитрий Николаевич,1826,1885,8
Кузнецов Андрей Алексеевич,1826,1910,10
Петров Андрей Николаевич,1826,1901,11
Попов Алексей Алексеевич,1826,1973,10
Фролов Артем Дмитриевич,1826,2020,11
Волков Артем Петрович,1827,1828,3
Кузнецов Иван Сергеевич,1827,2020,11
Кузнецов Сергей Васильевич,1827,1952,0
Новиков Юрий Васильевич,1827,1923,8
Иванов Дмитрий Петрович,1828,1918,8
Кузнецов Андрей Сергеевич,1828,1942,6
Кузнецов Владимир Петрович,1828,1887,6
Петров Иван Дмитриевич,1828,1867,0
Попов Петр Васильевич,1828,1922,11
Фролов Алексей Федорович,1828,2003,2
Фролов Андрей Петрович,1828,1921,13
Волков Никита Васильевич,1829,2007,11
Кузнецов Владимир Федорович,1829,1907,10
Кузнецов Никита Юрьевич,1829,1933,11
Лебедев Алексей Сергеевич,1829,1976,3
Лебедев Владимир Юрьевич,1829,1933,8
Кузнецов Алексей Сергеевич,1830,1891,9
Петров Сергей Иванович,1830,1852,7
Попов Артем Дмитриевич,1830,1961,10
Волков Сергей Васильевич,1831,1972,8
Волков Юрий Алексеевич,1831,1841,10
Лебедев Владимир Алексеевич,1831,1961,7
Новиков Андрей Сергеевич,1831,2015,4
Сидоров Никита Андреевич,1831,1881,9
Фролов Сергей Николаевич,1831,1881,7
Кузнецов Петр Андреевич,1832,1872,5
Лебедев Иван Петрович,1832,1860,0
Попов Иван Федорович,1832,2010,5
Попов Никита Васильевич,1832,1997,7
Сидоров Андрей Андреевич,1832,1992,10
Волков Юрий Дмитриевич,1833,1904,0
Лебедев Артем Андреевич,1833,1894,8
Попов Артем Васильевич,1833,1976,5
Кузнецов Никита Федорович,1834,1981,6
Петров Артем Иванович,1834,1950,3
Петров Никита Юрьевич,1834,1955,10
Смирнов Петр Сергеевич,1834,1955,5
Петров Иван Сергеевич,1835,1913,9
Петров Петр Юрьевич,1835,1927,12
Сидоров Никита Иванович,1835,1984,14
Фролов Дмитрий Иванович,1835,2014,14
Волков Петр Петрович,1836,1983,3
Лебедев Петр Николаевич,1836,1954,2
Лебедев Юрий Николаевич,1836,1857,4
Попов Никита Юрьевич,1836,1945,12
Волков Никита Васильевич,1837,1910,13
Иванов Юрий Николаевич,1838,2006,7
Петров Алексей Андреевич,1838,1895,7
Фролов Владимир Николаевич,1838,1977,8
Фролов Иван Иванович,1838,1854,5
Лебедев Дмитрий Андреевич,1839,1942,4
Новиков Андрей Андреевич,1839,1853,8
Новиков Владимир Николаевич,1839,1857,1
Новиков Юрий Алексеевич,1839,1916,10
Петров Никита Федорович,1839,1839,7
Попов Владимир Сергеевич,1839,1887,13
Попов Никита Васильевич,1839,1947,7
Попов Алексей Юрьевич,1840,1905,14
Сидоров Иван Алексеевич,1840,1931,14
Смирнов Дмитрий Петрович,1840,1862,2
Новиков Андрей Васильевич,1841,2016,2
Попов Дмитрий Юрьевич,1841,1934,14
Смирнов Юрий Васильевич,1841,1889,3
Петров Никита Николаевич,1842,1976,12
Смирнов Владимир Юрьевич,1842,1878,9
Кузнецов Алексей Алексеевич,1843,1956,3
Лебедев Владимир Юрьевич,1843,1929,6
Петров Артем Николаевич,1843,1971,4
Попов Алексей Васильевич,1843,1969,8
Сидоров Сергей Николаевич,1843,1924,0
Смирнов Сергей Юрьевич,1843,1858,0
Сидоров Юрий Федорович,1844,1959,3
Смирнов Андрей Дмитриевич,1845,1887,12
Фролов Алексей Федорович,1845,1887,2
Кузнецов Сергей Федорович,1846,2009,5
Новиков Сергей Андреевич,1846,1942,0
Лебедев Андрей Николаевич,1847,2002,5
Лебедев Сергей Андреевич,1847,2003,1
Петров Сергей Васильевич,1847,1954,6
Смирнов Владимир Андреевич,1847,2019,14
Фролов Иван Петрович,1847,1984,6
Иванов Артем Дмитриевич,1848,1890,0
Кузнецов Петр Федорович,1848,1989,3
Новиков Артем Андреевич,1848,1979,0
Петров Артем Петрович,1848,2007,5
Сидоров Алексей Иванович,1848,2022,3
Сидоров Алексей Иванович,1848,1979,13
Смирнов Иван Васильевич,1848,2009,1
Лебедев Иван Сергеевич,1849,1995,11
Попов Артем Дмитриевич,1849,1946,9
Попов Владимир Андреевич,1849,1868,5
Попов Иван Петрович,1849,1990,14
Попов Сергей Федорович,1849,2019,14
Фролов Иван Федорович,1849,1979,6
Лебедев Сергей Николаевич,1850,1877,7
Новиков Артем Васильевич,1850,1996,4
Смирнов Никита Сергеевич,1850,1993,6
Смирнов Сергей Дмитриевич,1850,1919,4
Кузнецов Дмитрий Юрьевич,1851,2002,11
Петров Иван Алексеевич,1851,1929,6
Петров Юрий Дмитриевич,1851,1938,8
Попов Андрей Иванович,1851,1994,7
Попов Петр Андреевич,1851,1923,5
Сидоров Иван Сергеевич,1851,2005,7
Волков Владимир Юрьевич,1852,1860,4
Лебедев Иван Петрович,1852,1883,13
Лебедев Иван Петрович,1852,1870,14
Фролов Юрий Алексеевич,1853,1916,14
Иванов Алексей Дмитриевич,1854,1912,1
Новиков Юрий Федорович,1854,2001,7
Фролов Алексей Алексеевич,1854,1858,4
Иванов Дмитрий Андреевич,1855,2014,9
Иванов Никита Сергеевич,1855,2010,4
Лебедев Никита Дмитриевич,1855,2009,13
Лебедев Никита Федорович,1855,1930,1
Волков Никита Юрьевич,1856,1913,11
Волков Петр Федорович,1856,2009,1
Иванов Дмитрий Николаевич,1856,1883,11
Кузнецов Никита Федорович,1856,1912,4
Петров Алексей Николаевич,1856,1931,0
Петров Никита Дмитриевич,1856,1871,1
Сидоров Владимир Сергеевич,1856,2016,3
Смирнов Никита Петрович,1857,1894,1
Фролов Артем Юрьевич,1857,2008,13
Сидоров Алексей Алексеевич,1858,1901,0
Новиков Андрей Юрьевич,1859,1885,9
Новиков Петр Федорович,1859,1909,9
Смирнов Андрей Николаевич,1859,2009,13
Иванов Юрий Юрьевич,1860,1921,10
Кузнецов Андрей Николаевич,1860,1963,9
Смирнов Алексей Иванович,1860,1929,10
Кузнецов Дмитрий Юрьевич,1861,2024,13
Петров Юрий Юрьевич,1861,1980,14
Кузнецов Иван Петрович,1862,1982,4
Лебедев Юрий Николаевич,1862,2024,9
Петров Артем Алексеевич,1862,1868,5
Кузнецов Артем Дмитриевич,1863,1913,14
Петров Артем Иванович,1863,2014,12
Лебедев Алексей Юрьевич,1864,1884,4
Смирнов Дмитрий Сергеевич,1864,1932,14
Кузнецов Артем Андреевич,1865,1901,0
Петров Никита Юрьевич,1865,1968,14
Фролов Владимир Алексеевич,1865,1867,3
Кузнецов Андрей Федорович,1866,1871,9
Новиков Никита Петрович,1866,1886,13
Попов Сергей Алексеевич,1866,1942,0
Сидоров Владимир Сергеевич,1866,1924,13
Петров Владимир Дмитриевич,1867,1998,13
Иванов Алексей Юрьевич,1868,1905,6
Кузнецов Владимир Петрович,1868,1874,8
Сидоров Сергей Васильевич,1868,2003,2
Фролов Владимир Петрович,1868,1904,4
Кузнецов Петр Дмитриевич,1869,1897,4
Кузнецов Юрий Юрьевич,1869,1981,13
Смирнов Петр Алексеевич,1869,2010,14
Иванов Андрей Юрьевич,1870,1915,3
Иванов Юрий Дмитриевич,1870,1926,13
Новиков Артем Андреевич,1870,1929,9
Петров Иван Петрович,1870,2005,8
Сидоров Артем Дмитриевич,1870,1958,12
Смирнов Сергей Андреевич,1870,1988,6
Иванов Андрей Николаевич,1871,1967,3
Кузнецов Иван Васильевич,1871,1994,10
Лебедев Алексей Петрович,1871,1879,14
Новиков Петр Васильевич,1871,1944,10
Сидоров Артем Федорович,1871,2018,7
Фролов Алексей Федорович,1871,1950,8
Волков Андрей Федорович,1872,1950,5
Кузнецов Никита Николаевич,1872,1920,12
Попов Петр Федорович,1872,1974,9
Смирнов Никита Сергеевич,1872,1978,11
Волков Владимир Петрович,1873,1902,1
Попов Дмитрий Иванович,1873,1971,7
Лебедев Андрей Дмитриевич,1874,1921,11
Лебедев Артем Сергеевич,1874,1964,7
Лебедев Сергей Николаевич,1874,1956,4
Попов Иван Дмитриевич,1874,1875,4
Фролов Владимир Федорович,1874,1982,5
Иванов Петр Николаевич,1875,2003,14
Новиков Дмитрий Николаевич,1875,1971,11
Кузнецов Петр Федорович,1876,2020,6
Лебедев Владимир Андреевич,1876,1915,0
Лебедев Петр Сергеевич,1876,1877,3
Сидоров Алексей Васильевич,1876,1915,10
Смирнов Иван Алексеевич,1876,1900,7
Лебедев Юрий Федорович,1877,2002,8
Фролов Сергей Юрьевич,1877,1961,4
Петров Артем Юрьевич,1880,1969,6
Петров Сергей Петрович,1880,1927,5
Волков Иван Федорович,1881,1914,6
Иванов Андрей Андреевич,1881,1950,3
Иванов Петр Алексеевич,1881,1969,8
Петров Иван Николаевич,1881,1882,6
Иванов Алексей Васильевич,1882,1998,3
Волков Юрий Васильевич,1883,2009,5
Кузнецов Алексей Алексеевич,1883,1987,9
Кузнецов Сергей Иванович,1883,2017,12
Новиков Юрий Николаевич,1883,1995,14
Петров Сергей Иванович,1883,1905,2
Фролов Артем Дмитриевич,1883,1947,7
Фролов Владимир Федорович,1883,1943,5
Новиков Юрий Юрьевич,1884,1977,13
Сидоров Петр Андреевич,1884,1907,0
Кузнецов Иван Алексеевич,1885,1978,4
Лебедев Иван Федорович,1885,1978,12
Новиков Артем Васильевич,1885,1977,1
Лебедев Дмитрий Дмитриевич,1886,1972,8
Лебедев Никита Алексеевич,1886,1986,1
Новиков Петр Николаевич,1886,1994,14
Петров Сергей Дмитриевич,1886,1918,3
Фролов Андрей Сергеевич,1886,1990,14
Смирнов Владимир Андреевич,1887,1984,6
Смирнов Петр Иванович,1887,1968,9
Новиков Дмитрий Сергеевич,1888,1962,12
Новиков Сергей Васильевич,1888,1890,11
Сидоров Владимир Васильевич,1888,2003,0
Волков Юрий Петрович,1889,1995,13
Кузнецов Никита Петрович,1889,2002,14
Попов Иван Петрович,1889,2019,11
Петров Иван Петрович,1891,1906,3
Кузнецов Владимир Петрович,1892,1936,14
Новиков Алексей Сергеевич,1892,1913,7
Петров Петр Андреевич,1892,1905,0
Иванов Владимир Алексеевич,1893,2004,13
Иванов Дмитрий Андреевич,1893,1947,12
Новиков Владимир Николаевич,1893,1917,10
Смирнов Андрей Николаевич,1893,2023,2
Волков Дмитрий Петрович,1896,1933,8
Волков Юрий Дмитриевич,1896,1901,2
Новиков Сергей Юрьевич,1897,1934,10
Сидоров Андрей Васильевич,1897,1926,10
Фролов Артем Дмитриевич,1897,2018,9
Кузнецов Никита Васильевич,1898,1963,11
Попов Владимир Иванович,1898,1940,9
Сидоров Петр Андреевич,1898,1998,11
Попов Дмитрий Сергеевич,1899,2002,4
Попов Никита Иванович,1899,1953,2
Лебедев Дмитрий Федорович,1900,2009,13
Новиков Петр Федорович,1900,1996,8
Попов Артем Юрьевич,1900,2024,3
Попов Юрий Иванович,1900,1913,12
Сидоров Петр Николаевич,1900,1988,9
Лебедев Андрей Дмитриевич,1901,1990,5
Лебедев Андрей Юрьевич,1901,2005,3
Волков Петр Иванович,1903,1987,14
Кузнецов Никита Николаевич,1903,1952,14
Кузнецов Юрий Николаевич,1903,1960,12
Лебедев Иван Федорович,1903,1908,11
Лебедев Юрий Андреевич,1903,1964,2
Новиков Никита Федорович,1903,1995,14
Новиков Петр Алексеевич,1903,2002,7
Новиков Юрий Алексеевич,1903,1940,9
Новиков Иван Васильевич,1904,1929,11
Иванов Никита Юрьевич,1905,2005,8
Кузнецов Иван Алексеевич,1905,2000,3
Сидоров Дмитрий Андреевич,1905,1969,8
Фролов Юрий Юрьевич,1905,1947,8
Волков Алексей Иванович,1906,1944,8
Сидоров Иван Васильевич,1906,1986,5
Фролов Дмитрий Иванович,1906,2024,1
Иванов Никита Юрьевич,1907,1943,11
Сидоров Иван Дмитриевич,1907,1996,10
Волков Юрий Андреевич,1909,1920,9
Попов Дмитрий Юрьевич,1909,1911,10
Лебедев Артем Сергеевич,1910,1962,5
Смирнов Андрей Андреевич,1910,1924,14
Лебедев Дмитрий Дмитриевич,1911,2008,1
Лебедев Артем Васильевич,1912,1961,4
Новиков Никита Николаевич,1912,1953,13
Фролов Никита Николаевич,1912,1916,14
Лебедев Сергей Васильевич,1913,1992,11
Новиков Владимир Алексеевич,1914,1966,1
Сидоров Алексей Алексеевич,1914,1929,13
Кузнецов Андрей Васильевич,1916,1967,2
Кузнецов Дмитрий Николаевич,1916,1964,13
Волков Иван Дмитриевич,1917,2006,6
Кузнецов Сергей Юрьевич,1917,1927,11
Новиков Андрей Сергеевич,1917,1999,2
Петров Иван Андреевич,1917,1970,9
Кузнецов Владимир Петрович,1918,1946,5
Кузнецов Дмитрий Сергеевич,1918,1949,11
Петров Алексей Николаевич,1918,1973,10
Сидоров Дмитрий Юрьевич,1918,1976,12
Смирнов Алексей Юрьевич,1918,1947,4
Фролов Никита Сергеевич,1918,2018,9
Смирнов Артем Сергеевич,1919,1965,11
Волков Дмитрий Васильевич,1920,2006,14
Лебедев Никита Петрович,1920,1930,0
Смирнов Алексей Андреевич,1921,2006,6
Смирнов Андрей Алексеевич,1922,2013,11
Фролов Сергей Иванович,1922,1932,13
Волков Андрей Иванович,1923,2000,3
Волков Владимир Юрьевич,1923,2007,3
Петров Никита Сергеевич,1923,1986,1
Попов Владимир Дмитриевич,1923,1982,6
Смирнов Никита Дмитриевич,1923,1972,9
Петров Иван Дмитриевич,1924,2007,3
Попов Дмитрий Федорович,1924,1965,0
Попов Сергей Сергеевич,1924,1990,2
Фролов Петр Алексеевич,1924,1998,5
Фролов Сергей Юрьевич,1925,2010,10
Волков Владимир Алексеевич,1926,1998,7
Лебедев Артем Дмитриевич,1926,1934,9
Сидоров Артем Юрьевич,1926,1969,9
Петров Сергей Алексеевич,1927,1961,8
Волков Иван Федорович,1928,2002,12
Лебедев Иван Сергеевич,1928,2005,7
Волков Сергей Федорович,1929,1966,14
Волков Владимир Сергеевич,1930,1972,10
Петров Андрей Дмитриевич,1930,1961,2
Лебедев Владимир Алексеевич,1931,1992,5
Попов Юрий Алексеевич,1931,1962,2
Кузнецов Дмитрий Юрьевич,1934,1991,11
Новиков Петр Федорович,1935,2006,2
Петров Иван Николаевич,1935,2017,3
Иванов Никита Алексеевич,1936,1979,12
Лебедев Никита Алексеевич,1936,1989,10
Сидоров Иван Сергеевич,1936,1952,3
Кузнецов Иван Васильевич,1937,1997,0
Сидоров Сергей Николаевич,1937,2002,14
Петров Юрий Иванович,1938,1971,11
Иванов Алексей Алексеевич,1939,2022,3
Лебедев Юрий Андреевич,1939,1987,7
Лебедев Алексей Сергеевич,1940,1983,5
Новиков Владимир Федорович,1940,2011,3
Попов Иван Васильевич,1940,1966,1
Сидоров Петр Петрович,1940,2008,8
Иванов Юрий Васильевич,1941,1951,2
Попов Петр Николаевич,1943,2001,14
Сидоров Петр Федорович,1944,2009,0
Лебедев Алексей Юрьевич,1945,2006,9
Смирнов Владимир Николаевич,1945,2012,11
Иванов Юрий Васильевич,1946,1996,4
Фролов Алексей Федорович,1947,2006,2
Лебедев Артем Дмитриевич,1948,1961,6
Новиков Алексей Петрович,1948,1978,2
Попов Петр Федорович,1948,1967,0
Сидоров Петр Васильевич,1948,1955,2
Фролов Петр Васильевич,1948,1955,11
Фролов Сергей Сергеевич,1948,1977,1
Кузнецов Владимир Дмитриевич,1949,2021,6
Новиков Владимир Андреевич,1949,1998,11
Фролов Сергей Николаевич,1949,2022,12
Волков Никита Петрович,1950,2018,7
Петров Юрий Петрович,1951,2018,6
Петров Владимир Юрьевич,1952,1967,2
Петров Петр Алексеевич,1952,2021,6
Смирнов Иван Васильевич,1952,1965,8
Лебедев Дмитрий Алексеевич,1953,2010,5
Петров Юрий Алексеевич,1953,1989,3
Сидоров Алексей Васильевич,1953,2016,10
Лебедев Юрий Николаевич,1954,1971,6
Волков Иван Петрович,1955,2018,0
Лебедев Дмитрий Васильевич,1956,1968,7
Кузнецов Владимир Васильевич,1959,1974,13
Лебедев Артем Васильевич,1960,1997,6
Новиков Юрий Федорович,1961,1986,12
Попов Юрий Юрьевич,1962,1999,10
Иванов Андрей Сергеевич,1963,2002,0
Сидоров Петр Сергеевич,1963,1969,5
Попов Петр Дмитриевич,1965,2022,12
Смирнов Никита Юрьевич,1965,1994,0
Фролов Андрей Дмитриевич,1965,1976,12
Сидоров Иван Юрьевич,1966,1975,11
Петров Петр Васильевич,1967,1977,4
Попов Иван Васильевич,1967,2001,14
Фролов Алексей Федорович,1968,2012,8
Сидоров Алексей Иванович,1969,1990,6
Новиков Андрей Алексеевич,1970,1978,12
Петров Сергей Иванович,1970,1973,4
Фролов Сергей Николаевич,1971,2004,13
Лебедев Сергей Сергеевич,1975,1993,5
Кузнецов Артем Юрьевич,1977,1993,4
Лебедев Алексей Петрович,1977,2001,10
Лебедев Юрий Николаевич,1977,1992,14
Фролов Артем Николаевич,1977,1999,8
Кузнецов Алексей Иванович,1979,2002,6
Новиков Андрей Васильевич,1979,1998,6
Попов Артем Андреевич,1980,2020,10
Сидоров Петр Николаевич,1982,2002,10
Лебедев Петр Юрьевич,1983,1990,6
Новиков Артем Иванович,1989,2005,12
Волков Никита Васильевич,1990,1997,10
Сидоров Никита Иванович,1991,1995,14
Иванов Никита Петрович,1992,2017,12
Петров Алексей Сергеевич,1995,2006,9
Иванов Алексей Алексеевич,1996,2008,8
Попов Артем Васильевич,1998,2019,6
Попов Артем Петрович,2000,2017,5
Попов Юрий Федорович,2014,2018,4
